evolution_method,mutation,crossover,batch_type,batch_offset_type,sub_gen_type,magic,magic_normalized,qsar,qsar_normalized,gass,gass_normalized,mnist,mnist_normalized
JADE,curr_p_best,bin,low,mid,high,0.7192104,0.7821712,0.7375,0.71125,0.9392222,0.7611111999999999,0.7856,0.7869
JADE,curr_p_best,interm,low,mid,high,0.7172368,0.783355,0.7525,0.75,0.9399998,0.7878892,0.83586,0.83698
JADE,degl,bin,low,mid,high,0.7163158000000001,0.7819738,0.7725,0.755,0.9173334,0.774111,0.6443800000000001,0.7666
JADE,degl,interm,low,mid,high,0.7103946,0.7600658,0.73,0.73625,0.7223335999999999,0.4285556,0.37696,0.42266
SHADE,rand/1,bin,low,mid,high,0.7152632,0.7851314,0.745,0.715,0.7711111999999999,0.5695554,0.4526,0.46194
SHADE,rand/1,interm,low,mid,high,0.7200658000000001,0.7842766,0.7525,0.765,0.8062222,0.6588888,0.8669399999999999,0.8701399999999999
SHADE,curr_p_best,bin,low,mid,high,0.718421,0.781908,0.7275,0.74625,0.9389998,0.7806668000000001,0.77976,0.75878
SHADE,curr_p_best,interm,low,mid,high,0.7186186,0.7826972,0.79875,0.7825,0.9305558,0.7703331999999999,0.8327399999999999,0.8282200000000001
SHADE,degl,bin,low,mid,high,0.7161841999999999,0.7813158,0.7425,0.7375,0.9295556,0.7732220000000001,0.65166,0.75602
SHADE,degl,interm,low,mid,high,0.7067106,0.7494078000000001,0.7575,0.7125,0.7546666,0.433111,0.40222,0.37556
L-SHADE,rand/1,bin,low,mid,high,0.714079,0.7828948,0.69,0.68375,0.7835558000000001,0.5896666,0.68092,0.73614
L-SHADE,rand/1,interm,low,mid,high,0.7196712,0.783421,0.7425,0.76375,0.8234444,0.6831108,0.8427399999999999,0.8592799999999999
L-SHADE,curr_p_best,bin,low,mid,high,0.716645,0.7832894,0.74375,0.71875,0.932889,0.7431112,0.7467,0.7450399999999999
L-SHADE,curr_p_best,interm,low,mid,high,0.7248684,0.782434,0.73625,0.77125,0.936889,0.7747778000000001,0.79908,0.8122199999999999
L-SHADE,degl,bin,low,mid,high,0.7233552,0.7792104000000001,0.74625,0.75125,0.9012224,0.7553333999999999,0.63054,0.7297
L-SHADE,degl,interm,low,mid,high,0.7070392,0.7496056,0.74625,0.69375,0.7625556,0.428889,0.43176,0.4235
JDE,rand/1,bin,low,mid,mid,0.7133554,0.783421,0.75375,0.71625,0.7838890000000001,0.5882224,0.6783,0.7095
JDE,rand/1,interm,low,mid,mid,0.7140791999999999,0.783158,0.735,0.71625,0.8628889999999999,0.715,0.8754799999999999,0.88936
JDE,curr_p_best,bin,low,mid,mid,0.716645,0.7824344,0.73125,0.7225,0.9056668,0.7523333999999999,0.87084,0.88066
JDE,curr_p_best,interm,low,mid,mid,0.7178948,0.7832236,0.74,0.76,0.9243334,0.7624444,0.8637799999999999,0.8588600000000001
JDE,degl,bin,low,mid,mid,0.7148684000000001,0.7820396,0.75875,0.745,0.9033334,0.7859998,0.8115600000000001,0.80676
JDE,degl,interm,low,mid,mid,0.7222366,0.7817764,0.72,0.7625,0.873,0.7723334,0.7573,0.7652399999999999
JADE,rand/1,bin,low,mid,mid,0.7138158,0.7834866,0.71125,0.67875,0.7504444,0.563,0.43338,0.47858
JADE,rand/1,interm,low,mid,mid,0.7194078,0.785,0.745,0.72125,0.7813334,0.6809999999999999,0.85754,0.8768
JADE,curr_p_best,bin,low,mid,mid,0.7145394,0.7813816,0.73875,0.70625,0.9286666,0.751889,0.8323799999999999,0.81358
JADE,curr_p_best,interm,low,mid,mid,0.715921,0.7852631999999999,0.73875,0.75375,0.9395556,0.7768888,0.8544,0.84662
JADE,degl,bin,low,mid,mid,0.7290786,0.7813158,0.765,0.75875,0.9318888,0.7618888,0.71246,0.7875800000000001
JADE,degl,interm,low,mid,mid,0.7163811999999999,0.7446054,0.7375,0.69875,0.7582222,0.429111,0.43538,0.47222
SHADE,rand/1,bin,low,mid,mid,0.7158554,0.7838814000000001,0.72125,0.685,0.7846666,0.5721109999999999,0.4275,0.6968
SHADE,rand/1,interm,low,mid,mid,0.7207895999999999,0.7846054,0.7525,0.76625,0.7826666,0.665,0.8715,0.87818
SHADE,curr_p_best,bin,low,mid,mid,0.7166448000000001,0.7817105999999999,0.74,0.73,0.942,0.7493334,0.81794,0.80342
SHADE,curr_p_best,interm,low,mid,mid,0.7224341999999999,0.7865131999999999,0.77,0.77625,0.9401112,0.7972224,0.85182,0.8389200000000001
SHADE,degl,bin,low,mid,mid,0.7217104,0.7810528,0.755,0.7525,0.931667,0.7934445999999999,0.6983,0.7874800000000001
SHADE,degl,interm,low,mid,mid,0.704408,0.7686184,0.72375,0.67125,0.7494441999999999,0.4286666,0.44046,0.45534
L-SHADE,rand/1,bin,low,mid,mid,0.7172368,0.784671,0.73625,0.71,0.7936668,0.559333,0.6219600000000001,0.7516
L-SHADE,rand/1,interm,low,mid,mid,0.7173686,0.7855264,0.78,0.72875,0.7765558000000001,0.6776666,0.85944,0.8659399999999999
L-SHADE,curr_p_best,bin,low,mid,mid,0.7165788000000001,0.783355,0.74375,0.7325,0.9335554,0.7512220000000001,0.78546,0.7772
L-SHADE,curr_p_best,interm,low,mid,mid,0.7214474,0.7836841999999999,0.74125,0.76875,0.9312224,0.7753334,0.8277399999999999,0.8251
L-SHADE,degl,bin,low,mid,mid,0.7173026,0.7764472,0.76875,0.77,0.9348888,0.782111,0.65982,0.7405
L-SHADE,degl,interm,low,mid,mid,0.7146051999999999,0.7511186,0.755,0.7125,0.7525554,0.4362224,0.44988,0.43072
JDE,rand/1,bin,low,mid,low,0.7117104000000001,0.781908,0.75375,0.71625,0.753111,0.5842224,0.64218,0.68894
JDE,rand/1,interm,low,mid,low,0.7199342,0.7828946,0.735,0.71625,0.7778888,0.7146666,0.8686,0.8953200000000001
JDE,curr_p_best,bin,low,mid,low,0.7188816,0.7836841999999999,0.73125,0.7225,0.835111,0.745111,0.85196,0.8941
JDE,curr_p_best,interm,low,mid,low,0.7198028000000001,0.7846052,0.74,0.76,0.9098888,0.7476668000000001,0.8546600000000001,0.8881
JDE,degl,bin,low,mid,low,0.7190131999999999,0.7832895999999999,0.75875,0.745,0.8905556,0.7798888,0.8419399999999999,0.83352
JDE,degl,interm,low,mid,low,0.7201312,0.784605,0.72,0.7625,0.8814443999999999,0.7181112,0.8003399999999999,0.79814
JADE,rand/1,bin,low,mid,low,0.7126316,0.7840788000000001,0.71125,0.67875,0.7856664000000001,0.5544444000000001,0.4164600000000001,0.46858
JADE,rand/1,interm,low,mid,low,0.719408,0.785921,0.745,0.72125,0.764,0.6511111999999999,0.87776,0.8791399999999999
JADE,curr_p_best,bin,low,mid,low,0.7229604000000001,0.7840132,0.73875,0.70625,0.9309998,0.7367778,0.8520399999999999,0.83942
JADE,curr_p_best,interm,low,mid,low,0.7175658,0.7854604000000001,0.73875,0.75375,0.8536668,0.7541111999999999,0.8595799999999999,0.85906
JADE,degl,bin,low,mid,low,0.7307236,0.7850004,0.765,0.75875,0.9486664,0.7945558000000001,0.7568199999999999,0.79772
JADE,degl,interm,low,mid,low,0.7108554,0.7532894,0.7375,0.69875,0.7321112,0.4952222,0.4694,0.4597600000000001
SHADE,rand/1,bin,low,mid,low,0.7139474,0.7858552,0.72125,0.685,0.7761111999999999,0.5685555999999999,0.44684,0.7773
SHADE,rand/1,interm,low,mid,low,0.72,0.7843422,0.7525,0.76625,0.7656666,0.6672222,0.8766200000000001,0.88434
SHADE,curr_p_best,bin,low,mid,low,0.7217102,0.7836844000000001,0.74,0.73,0.9261112,0.7447778,0.8477,0.83278
SHADE,curr_p_best,interm,low,mid,low,0.7211841999999999,0.7833551999999999,0.77,0.77625,0.9325556,0.760111,0.8579200000000001,0.85406
SHADE,degl,bin,low,mid,low,0.7186842,0.7835525999999999,0.755,0.7525,0.9213332,0.8177778,0.7618,0.79018
SHADE,degl,interm,low,mid,low,0.7161841999999999,0.7550658,0.72375,0.67125,0.7373331999999999,0.4608888,0.46288,0.42074
L-SHADE,rand/1,bin,low,mid,low,0.7187501999999999,0.782829,0.73625,0.71,0.7706666,0.5786666,0.57624,0.7660399999999999
L-SHADE,rand/1,interm,low,mid,low,0.72125,0.7842762,0.78,0.72875,0.7680001999999999,0.663111,0.8617799999999999,0.8730600000000001
L-SHADE,curr_p_best,bin,low,mid,low,0.7167762,0.7835529999999999,0.74375,0.7325,0.9254444,0.7473331999999999,0.8194600000000001,0.8126399999999999
L-SHADE,curr_p_best,interm,low,mid,low,0.7194078,0.7828288,0.74125,0.76875,0.9371112,0.769,0.843,0.8427600000000001
L-SHADE,degl,bin,low,mid,low,0.7154604,0.7823684000000001,0.76875,0.77,0.936,0.7784446,0.7084600000000001,0.7702600000000001
L-SHADE,degl,interm,low,mid,low,0.7130264000000001,0.7674344,0.755,0.7125,0.7449998000000001,0.4756664,0.43084,0.4374
JDE,rand/1,bin,low,low,high,0.7111184,0.7840132,0.72875,0.725,0.8112222,0.5963331999999999,0.7271,0.7015
JDE,rand/1,interm,low,low,high,0.7190131999999999,0.7840132,0.73125,0.72875,0.904889,0.7109998000000001,0.85064,0.8771399999999999
JDE,curr_p_best,bin,low,low,high,0.7182236,0.7826316,0.76,0.74,0.9263332,0.754111,0.8546799999999999,0.83568
JDE,curr_p_best,interm,low,low,high,0.7191446,0.7828291999999999,0.73875,0.73,0.924889,0.7705558000000001,0.85572,0.80448
